time,open,high,low,close
1744032600,408.66,408.66,407.52,408.06
1744032660,408.14,410,407.53,409.43
1744032720,409.42,409.78,406.74,407.11
1744032780,407.11,408.59,406.97,408.19
1744032840,408.14,408.61,406.97,408
1744032900,408.02,408.18,406.33,406.91
1744032960,406.93,407.07,405.82,405.86
1744033020,405.88,406.62,405.48,406.14
1744033080,406.08,406.41,404.17,404.48
1744033140,404.41,406.61,404.36,406.45
1744033200,406.45,407.12,404.65,404.82
1744033260,404.8,405.83,404.36,404.41
1744033320,404.37,404.38,403.02,403.18
1744033380,403.09,403.85,402.68,403.45
1744033440,403.48,404.42,402.39,404.4
1744033500,404.4,404.69,403.12,403.95
1744033560,403.95,406.54,403.71,406.09
1744033620,406.06,407.81,405.84,407.765
1744033680,407.86,408.77,406.77,408.43
1744033740,408.46,409.35,408.22,408.32
1744033800,408.33,410.07,408.02,409.78
1744033860,409.8,411,409.67,409.98
1744033920,409.99,412.42,409.78,411.96
1744033980,411.96,412.74,411.05,412.58
1744034040,412.58,413.29,412.47,413.2
1744034100,413.19,413.94,412.15,412.71
1744034160,412.83,414.59,412.6,414.4
1744034220,414.24,415.39,414.16,415.28
1744034280,415.33,416.44,414.78,416.3
1744034340,416.36,417.48,416.04,416.89
1744034400,416.89,418.92,416.22,418.44
1744034460,418.73,418.83,415.81,416.54
1744034520,416.48,416.48,414.83,415.04
1744034580,415.05,416.31,414.32,415.15
1744034640,415.14,417.13,414.88,415.91
1744034700,415.85,417.96,415.63,417.46
1744034760,417.47,418.31,417.1,417.37
1744034820,417.34,417.5,415.91,415.92
1744034880,415.87,417.35,415.66,416.91
1744034940,417.3,417.46,416.17,416.53
1744035000,416.6,423.73,416.46,423.73
1744035060,423.68,428.62,423.68,428.02
1744035120,427.66,430.97,425.31,430.59
1744035180,430.67,436.88,430.11,436.61
1744035240,436.73,437.34,432.04,433.45
1744035300,433.49,439.15,433.3,436.72
1744035360,436.73,440.93,434.94,440.8
1744035420,440.88,443.14,440.51,442.22
1744035480,442.29,442.34,434.47,434.55
1744035540,434.48,435.56,432.36,434
1744035600,434.07,434.07,429,429
1744035660,428.92,431.79,428.86,429.59
1744035720,429.66,429.93,425.88,427.08
