time,open,high,low,close
1546439400,245.98,247.4,245.96,247.19
1546441200,247.18,248.7,246.63,247.81
1546443000,247.82,249.16,247.4,248.86
1546444800,248.87,250.45,248.595,249.54
1546446600,249.53,250.06,248.85,248.88
1546448400,248.9,249.34,248.68,249
1546450200,249,250.31,248.93,250.13
1546452000,250.155,251.06,250.15,250.81
1546453800,250.84,251.2,250.47,251.16
1546455600,251.15,251.17,249.72,250.23
1546457400,250.26,250.9,249.83,249.83
1546459200,249.84,250.21,248.85,249.31
1546461000,249.3,250.48,248.72,250.25
1546525800,248.24,248.57,246.79,247.22
1546527600,247.18,247.2,244.75,245.66
1546529400,245.63,245.64,244.04,245.34
1546531200,245.36,246.53,245.05,245.69
1546533000,245.7,248.17,245.43,247.12
1546534800,247.12,247.33,246.33,246.61
1546536600,246.64,247.27,246.03,247.05
1546538400,247,247.05,244.8,245.72
1546540200,245.71,246.41,244.93,245.2
1546542000,245.2,246.35,245.01,246.29
1546543800,246.31,246.64,244.54,244.87
1546545600,244.91,245.08,244.2,244.62
1546547400,244.61,245.42,243.67,244.13
1546612200,247.59,249.15,247.18,249.11
1546614000,249.1,250.96,248.03,250.96
1546615800,250.94,251.34,250.1,251.04
1546617600,251.03,251.85,250.34,250.6
1546619400,250.58,251.55,250.25,251.23
1546621200,251.19,252.11,250.62,251.85
1546623000,251.87,252.72,251.61,252.42
1546624800,252.425,253.11,252.425,252.59
1546626600,252.6,252.99,251.75,252.16
1546628400,252.17,252.49,251.51,252.39
1546630200,252.4,252.79,251.57,251.67
1546632000,251.65,252.58,251.49,251.77
1546633800,251.78,252.65,251.64,252.46
1546871400,252.69,252.9,251.7,252.52
1546873200,252.52,253.2,252.12,252.91
1546875000,252.96,254.2,252.96,253.9
1546876800,253.91,254.33,253.75,254.02
1546878600,254.07,255.42,253.83,255.39
1546880400,255.4,255.44,254.77,255.26
1546882200,255.27,255.665,255.12,255.46
1546884000,255.47,255.94,255.45,255.69
1546885800,255.68,255.83,254.75,254.83
1546887600,254.84,255.13,254.52,254.67
1546889400,254.655,254.855,253.94,254.08
1546891200,254.08,255.17,254.04,254.95
1546893000,254.95,255.04,254.07,254.28
1546957800,256.79,257.3,255.98,256.21
1546959600,256.22,256.69,254.99,255.41
1546961400,255.42,255.6,254,254.5
1546963200,254.49,255.31,254.43,254.81
1546965000,254.82,255.37,254.31,255.3
1546966800,255.31,256.06,255.12,255.82
1546968600,255.83,255.97,254.72,255.19
1546970400,255.17,255.84,254.91,255.69
1546972200,255.71,256.47,255.36,256.2
1546974000,256.2,256.52,255.93,256.11
1546975800,256.12,256.58,256.01,256.25
1546977600,256.24,256.69,255.82,256.68
1546979400,256.7,256.92,256.43,256.7
1547044200,257.56,258.15,257.06,258.05
1547046000,258.07,258.29,257.44,257.84
1547047800,257.83,257.83,256.19,256.95
1547049600,256.95,258.02,256.84,257.87
1547051400,257.87,258.54,257.54,258.17
1547053200,258.18,258.34,257.93,258.21
1547055000,258.24,258.79,258.14,258.72
1547056800,258.74,258.77,258.225,258.52
1547058600,258.51,258.56,257.89,258.17
1547060400,258.16,258.91,257.29,257.65
1547062200,257.63,258.56,257.36,258.17
1547064000,258.19,258.6,258.07,258.37
1547065800,258.36,258.48,257.3,257.88
1547130600,256.26,256.48,255.51,255.91
1547132400,255.93,257.18,255.735,257.11
1547134200,257.11,257.6,256.92,257.54
1547136000,257.58,258.04,257.37,257.59
1547137800,257.6,258.32,257.6,258.15
1547139600,258.13,258.42,257.67,258.07
1547141400,258.11,258.68,257.75,258.295
1547143200,258.29,258.31,256.89,257.45
1547145000,257.44,257.53,256.67,257.48
1547146800,257.44,258.84,257.42,258.39
1547148600,258.39,258.64,257.83,258.29
1547150400,258.28,258.7,258.14,258.63
1547152200,258.62,259.16,258.43,258.95
1547217000,257.68,257.85,257.04,257.54
1547218800,257.54,258.07,257.2,257.2
1547220600,257.21,258.17,257.07,258.12
1547222400,258.14,258.27,257.59,257.99
1547224200,258,258.48,257.92,258.45
1547226000,258.43,258.63,258.24,258.46
1547227800,258.46,258.89,258.43,258.76
1547229600,258.73,258.75,257.88,258.12
1547231400,258.12,258.49,258.02,258.33
1547233200,258.33,258.64,258.13,258.56
1547235000,258.56,258.67,258.21,258.28
1547236800,258.26,258.66,258.21,258.28
1547238600,258.28,258.97,258.27,258.91
1547476200,256.86,257.52,256.41,257.17
1547478000,257.21,257.84,257.04,257.52
1547479800,257.51,258.1,257.42,257.84
1547481600,257.85,257.99,257.17,257.43
1547483400,257.41,257.96,257.28,257.6
1547485200,257.59,258.15,257.45,257.98
1547487000,258.035,258.05,257.79,257.87
1547488800,257.84,258.22,257.68,258.04
1547490600,258.04,258.29,257.94,257.95
1547492400,257.99,258.09,257.49,257.63
1547494200,257.62,258.21,257.62,258.14
1547496000,258.15,258.25,257.87,257.91
1547497800,257.9,258.08,257.33,257.46
1547562600,257.82,259.4,257.81,259.135
1547564400,259.14,260.03,258.63,258.95
1547566200,258.98,259.62,258.71,259.53
1547568000,259.53,259.82,259.11,259.36
1547569800,259.37,260.28,259.18,260.16
1547571600,260.17,260.7,260.13,260.42
1547573400,260.42,260.44,259.9,260.07
1547575200,260.08,260.17,259.86,260.08
1547577000,260.08,260.29,259.98,260.13
1547578800,260.13,260.45,259.05,259.11
1547580600,259.11,259.73,258.73,259.68
1547582400,259.68,260.21,259.59,259.99
1547584200,259.99,260.58,259.83,260.38
1547649000,260.83,261.71,260.65,261.42
1547650800,261.42,261.73,261.34,261.38
1547652600,261.37,261.48,260.6,261.21
1547654400,261.21,261.52,260.67,261.45
1547656200,261.48,261.62,260.8,261.01
1547658000,261.01,261.32,260.74,261.25
1547659800,261.26,261.48,260.94,261.37
1547661600,261.36,261.4,261.09,261.29
1547663400,261.3,261.51,261.23,261.41
1547665200,261.41,261.77,261.4,261.7
1547667000,261.7,261.96,261.41,261.5
